Time (s),Limonene-FB = 20 µm (ref),Toluene-FB = 20 µm (v1),Limonene-FB = 10 µm (v2),Toluene-FB = 10 µm (v3)
26853798.994974874,1.2243711473170709,1.7534224110332575,1.922472076706237,2.677938321687799
27065246.23115578,1.2356265012530703,1.7696659721255392,1.9394948637589735,2.697560157408214
27276693.467336684,1.2468403661041962,1.7858025038162866,1.9563947188809134,2.716932084774998
27488140.70351759,1.2580123303325728,1.8018312488200336,1.9731708519401145,2.736053908692123
27699587.93969849,1.269143304136665,1.817754846682078,1.9898263708360109,2.7549332714086168
27911035.175879396,1.280232729802359,1.8335721651066026,2.006360055516357,2.7735690848945778
28122482.4120603,1.291281410224533,1.8492855920171143,2.0227747203061743,2.7919682983521836
28333929.648241207,1.3022888660270897,1.8648942035674634,2.039069383828479,2.8101302926853413
28545376.884422112,1.313255976986258,1.8804005242290383,2.055247011553924,2.8280622194166534
28756824.120603014,1.3241819951974882,1.895802958602383,2.0713058548670373,2.8457619463616677
28968271.35678392,1.335067908042776,1.9111042956285982,2.087249177223595,2.8632371180949363
29179718.592964824,1.3459134310082486,1.9263041251752284,2.103076584536443,2.880488214138045
29391165.82914573,1.3567186844891448,1.9414030465539132,2.118788835619223,2.8975179479425424
29602613.065326635,1.367484166100955,1.9564025943663599,2.1343877543901058,2.9143310400689972
29814060.301507536,1.378209707668186,1.9713026404998801,2.1498732674325267,2.930928556342386
30025507.53768844,1.3888953712692849,1.9861036335384852,2.1652459590733066,2.9473128111285702
30236954.773869347,1.3995416268918837,2.000807023551734,2.1805075530481455,2.9634882320829017
30448402.010050252,1.410148587015338,2.0154133724162553,2.1956587592492998,2.9794573025692523
30659849.246231157,1.4207162249500755,2.0299229003856656,2.2106998989813627,2.995221771267737
30871296.48241206,1.4312445384152415,2.044335887780732,2.2256313619764936,3.0107835070572233
31082743.718592964,1.441733951532824,2.05865365718273,2.2404547206484677,3.0261465353409656
31294190.95477387,1.4521845885860512,2.0728767863810456,2.2551706999089216,3.041313284966358
31505638.190954775,1.462596575477457,2.0870058568224175,2.269780027905984,3.056286169660321
31717085.42713568,1.472970039778515,2.101041453306517,2.284283435973717,3.071067592918064
31928532.663316585,1.4833051121345906,2.114984163823957,2.2986816581498584,3.0856599415789314
32139979.899497487,1.4936019256682693,2.1288345793648653,2.312975431037119,3.1000655872020055
32351427.135678392,1.5038606141790087,2.142593293709377,2.327165493582544,3.1142868844500953
32562874.371859297,1.5140813144087715,2.156260903313433,2.3412525862089986,3.128326168737894
32774321.608040202,1.5242641665195553,2.1698380070712693,2.355237451549559,3.1421857639017747
32985768.844221108,1.5344093121682678,2.1833252061512964,2.3691208342971977,3.1558679746001377
33197216.08040201,1.544516895168972,2.1967231037391497,2.3829034803226112,3.169375088003069
33408663.316582914,1.554587058748118,2.210032304803581,2.396586136733147,3.182709372573984
33620110.55276382,1.5646199493608473,2.2232534163720605,2.410169551667306,3.195873072528985
33831557.78894472,1.574615717532376,2.236387046904748,2.4236544734065166,3.208868422813771
34043005.02512563,1.5845745142725032,2.2494338062648733,2.4370416514595714,3.221697635918997
34254452.26130653,1.5944964924051557,2.2623943055522826,2.4503318357810513,3.234362905036259
34465899.49748744,1.604381806521618,2.2752691569392183,2.463525776386125,3.2468664039161164
34677346.73366834,1.614230612920041,2.288058973304632,2.4766242233008167,3.259210286625718
34888793.969849244,1.6240427259739325,2.3007635763183547,2.4896270385671007,3.2713952103279675
35100241.20603015,1.6338184857025366,2.3133840032108375,2.5025354467562857,3.2834240959038765
35311688.442211054,1.6435581687610143,2.3259211384752154,2.5153504998499154,3.2952995433698775
35523135.67839196,1.653261937465118,2.338375598063124,2.528072947318803,3.307023628581453
35734582.914572865,1.6629298742154353,2.3507478118762752,2.540703329441477,3.31859806983889
